"","...1","Transaction unique identifier","Price","Date of Transfer","Property Type","Old/New","Duration","Town/City","District","County","PPDCategory Type","Record Status - monthly file only"
"700",700,"{E40795BF-D47E-4A4D-B2CA-EDE328202DBE}",373750,2009-07-10,"D",FALSE,"F","HARTFIELD","WEALDEN","EAST SUSSEX","A","A"
"701",701,"{9ABB0290-7B70-4622-883D-0AD01975F1C9}",277500,2009-08-10,"F",FALSE,"L","LEWES","LEWES","EAST SUSSEX","A","A"
"702",702,"{294CDC16-6E4F-4DCE-BA0D-3D8AF0A010EB}",1e+05,2008-10-06,"F",FALSE,"L","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"703",703,"{79DDC2C1-D798-4F32-BAAB-681975275D40}",467000,2009-10-02,"S",FALSE,"F","GREAT MISSENDEN","CHILTERN","BUCKINGHAMSHIRE","A","A"
"704",704,"{AB7B0DF1-23AF-45AA-B481-B6A9FBED6E4F}",173000,2009-02-13,"D",FALSE,"F","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","A","A"
"705",705,"{934EC017-1CF4-4A42-8D0F-E7B858F885DC}",220000,2008-04-11,"T",TRUE,"F","SEAFORD","LEWES","EAST SUSSEX","A","A"
"706",706,"{0C6EB1F5-4EE9-4709-A048-518C12F318A2}",88500,2008-09-05,"F",FALSE,"L","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","A","A"
"707",707,"{2DCD62BC-0996-45B1-BACC-3B068BC87A00}",435000,2008-02-15,"D",FALSE,"F","LEIGHTON BUZZARD","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"708",708,"{8AC22C63-8F64-43A0-AFBE-B1F2EA037E47}",195000,2009-07-14,"T",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"709",709,"{3BA23092-77BD-4ECD-9DC7-6CB6FA55E9E0}",149950,2008-02-06,"F",FALSE,"L","HASTINGS","HASTINGS","EAST SUSSEX","A","A"
"710",710,"{2A289E9F-D9F2-CDC8-E050-A8C063054829}",167000,2008-01-11,"S",FALSE,"F","POLEGATE","WEALDEN","EAST SUSSEX","A","A"
"711",711,"{B1D2AB9B-1FBC-49B9-A2B3-7C422BE13E0B}",310000,2009-08-17,"F",FALSE,"L","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"712",712,"{B78BA91C-49CF-4C23-9366-A6CDB90AF370}",417500,2009-09-18,"D",FALSE,"F","MARLOW","WYCOMBE","BUCKINGHAMSHIRE","A","A"
